LAST SEEN   TYPE      REASON                   OBJECT                                      MESSAGE
45m         Normal    SuccessfulCreate         daemonset/static-local-static-provisioner   Created pod: static-local-static-provisioner-2gvnc
45m         Normal    Scheduled                pod/static-local-static-provisioner-2gvnc   Successfully assigned rclone/static-local-static-provisioner-2gvnc to fv-az251-156
45m         Normal    Pulling                  pod/static-local-static-provisioner-2gvnc   Pulling image "registry.k8s.io/sig-storage/local-volume-provisioner:v2.5.0"
45m         Normal    SuccessfulCreate         daemonset/csi-nodeplugin-rclone             Created pod: csi-nodeplugin-rclone-4ms9x
45m         Normal    Scheduled                pod/csi-nodeplugin-rclone-4ms9x             Successfully assigned rclone/csi-nodeplugin-rclone-4ms9x to fv-az251-156
45m         Normal    SuccessfulCreate         statefulset/csi-controller-rclone           create Pod csi-controller-rclone-0 in StatefulSet csi-controller-rclone successful
45m         Normal    Scheduled                pod/csi-controller-rclone-0                 Successfully assigned rclone/csi-controller-rclone-0 to fv-az251-156
45m         Normal    Pulling                  pod/csi-nodeplugin-rclone-4ms9x             Pulling image "k8s.gcr.io/sig-storage/csi-node-driver-registrar:v2.4.0"
45m         Normal    Pulled                   pod/static-local-static-provisioner-2gvnc   Successfully pulled image "registry.k8s.io/sig-storage/local-volume-provisioner:v2.5.0" in 3.001931055s (3.001943355s including waiting)
45m         Normal    Pulling                  pod/csi-controller-rclone-0                 Pulling image "k8s.gcr.io/sig-storage/csi-attacher:v3.4.0"
45m         Normal    Created                  pod/static-local-static-provisioner-2gvnc   Created container provisioner
45m         Normal    Started                  pod/static-local-static-provisioner-2gvnc   Started container provisioner
45m         Normal    Pulled                   pod/csi-nodeplugin-rclone-4ms9x             Successfully pulled image "k8s.gcr.io/sig-storage/csi-node-driver-registrar:v2.4.0" in 959.720193ms (959.728794ms including waiting)
45m         Normal    Created                  pod/csi-nodeplugin-rclone-4ms9x             Created container node-driver-registrar
45m         Normal    Started                  pod/csi-nodeplugin-rclone-4ms9x             Started container node-driver-registrar
45m         Normal    Pulling                  pod/csi-nodeplugin-rclone-4ms9x             Pulling image "wunderio/csi-rclone:v1.3.0"
45m         Normal    Pulled                   pod/csi-controller-rclone-0                 Successfully pulled image "k8s.gcr.io/sig-storage/csi-attacher:v3.4.0" in 1.140984394s (1.140992994s including waiting)
45m         Normal    Created                  pod/csi-controller-rclone-0                 Created container csi-attacher
45m         Normal    Started                  pod/csi-controller-rclone-0                 Started container csi-attacher
45m         Normal    Pulling                  pod/csi-controller-rclone-0                 Pulling image "wunderio/csi-rclone:v1.3.0"
45m         Normal    Pulled                   pod/csi-nodeplugin-rclone-4ms9x             Successfully pulled image "wunderio/csi-rclone:v1.3.0" in 2.23720434s (2.23721484s including waiting)
45m         Normal    Pulled                   pod/csi-controller-rclone-0                 Successfully pulled image "wunderio/csi-rclone:v1.3.0" in 1.776193497s (1.776211297s including waiting)
45m         Normal    Created                  pod/csi-nodeplugin-rclone-4ms9x             Created container rclone
45m         Normal    Created                  pod/csi-controller-rclone-0                 Created container rclone
45m         Normal    Started                  pod/csi-controller-rclone-0                 Started container rclone
45m         Normal    Started                  pod/csi-nodeplugin-rclone-4ms9x             Started container rclone
45m         Normal    LeaderElection           lease/external-attacher-leader-csi-rclone   csi-controller-rclone-0 became leader
45m         Warning   ProvisioningFailed       persistentvolumeclaim/data-rclone           no volume plugin matched name: kubernetes.io/no-provisioner
45m         Warning   FailedScheduling         pod/package-file                            0/1 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod..
44m         Warning   FailedScheduling         pod/package-file                            0/1 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod..
44m         Normal    Scheduled                pod/package-file                            Successfully assigned rclone/package-file to fv-az251-156
44m         Normal    SuccessfulAttachVolume   pod/package-file                            AttachVolume.Attach succeeded for volume "data-rclone"
44m         Normal    Pulling                  pod/package-file                            Pulling image "ghcr.io/bioconductor/bioconductor:devel"
43m         Normal    Pulled                   pod/package-file                            Successfully pulled image "ghcr.io/bioconductor/bioconductor:devel" in 58.426515154s (58.426524055s including waiting)
43m         Normal    Created                  pod/package-file                            Created container copy-packages
43m         Normal    Started                  pod/package-file                            Started container copy-packages
